UQMD   version:       10010   1000  10001  output_file  13
projectile:  (mass, char)    0   0   target:  (mass, char)    0   0 
transformation betas (NN,lab,pro)     0.0000000  0.9907499 -0.9907499
impact_parameter_real/min/max(fm):    0.00  0.00  0.00  total_cross_section(mbarn):       0.00
equation_of_state:    0  E_lab(GeV/u): 0.1000E+03  sqrt(s)(GeV): 0.1382E+02  p_lab(GeV/u): 0.1009E+03
event#         1 random seed:           0 (auto)   total_time(fm/c):   8000 Delta(t)_O(fm/c):   8000.00
op  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
op  0    0    0    0    0    0    1    0    1    0    0    0    0    2    1  
op  0    0    0    1    1    0    0    0    0    1    1    0    0    0    0  
pa 0.1000E+01   0.5200E+00   0.5000E+00   0.3000E+00   0.0000E+00   0.3700E+00   0.0000E+00   0.9300E-01   0.3500E+00   0.2500E+00   0.0000E+00   0.5000E+00  
pa 0.2700E+00   0.4900E+00   0.2700E+00   0.1000E+01   0.1600E+01   0.8500E+00   0.1550E+01   0.0000E+00   0.0000E+00   0.1000E+01 * 0.0000E+00   0.0000E+00  
pa 0.9000E+00   0.5000E+02   0.1000E+01   0.1000E+01   0.4000E+00   0.1500E+01   0.1600E+01   0.0000E+00   0.2500E+01   0.1000E+00   0.3000E+01   0.2750E+00  
pa 0.4200E+00   0.1080E+01   0.8000E+00   0.5000E+00   0.0000E+00   0.5500E+00   0.5000E+01   0.8000E+00   0.5000E+00   0.8000E+06   0.1000E+01   0.2000E+01  
pvec: r0              rx              ry              rz              p0              px              py              pz              m          ityp 2i3 chg lcl#  ncl or 
         149        8000
      18       2      16       0      47       1       0       0
  0.8000000000000000D+04  0.1152449843162881D+04 -0.7990468878183459D+03  0.7766825005505069D+04  0.5740201766529593D+01  0.8281570631335075D+00 -0.5728908840012065D+00  0.5572747764019098D+01  0.9382700000000000D+00    1  1  1     0    0  99  0.1410836248076963D+02  0.3000000000000000D+00 -0.2028820190000000D+01  0.1389896269979844D+02  0.5740201766529592D+01  0.8281570631335075D+00 -0.5728908840012065D+00  0.5572747764019098D+01
  0.8000000000000000D+04  0.1728124704164150D+04  0.1643378662158220D+04  0.7469674400067433D+04  0.4746532330316030D+01  0.1025422057601055D+01  0.9784655608977652D+00  0.4431798717092732D+01  0.9380000233650208D+00   -1 -1 -1     2    2  20  0.1476892216053315D+02  0.3026988098904045D+01 -0.2722757097518072D+01  0.1392894555333280D+02  0.4746532330316030D+01  0.1025422057601055D+01  0.9784655608977652D+00  0.4431798717092732D+01
  0.8000000000000000D+04  0.7018778241042119D+03 -0.1442286419768136D+04 -0.4481703557249372D+04  0.1167130443131008D+01  0.1020808416757122D+00 -0.2103929744523304D+00 -0.6539600335756643D+00  0.9380000233650208D+00    1 -1  0     3    2  20  0.1093923372771408D+02  0.3129837519525482D+01 -0.2136976671339209D+01 -0.5317496293029378D+01  0.1167130443131008D+01  0.1020808416757122D+00 -0.2103929744523304D+00 -0.6539600335756643D+00
  0.8000000000000000D+04  0.2233537448610400D+04 -0.5366608436944375D+03  0.6893908999298756D+04  0.2245176151247209D+01  0.6266967302258135D+00 -0.1505153926396030D+00  0.1934585353540146D+01  0.9395700000000000D+00   -1  1  0     5    1  22  0.5415317797256565D+01  0.2006494094138517D+01 -0.7082184343410820D+00  0.5270695692040503D+01  0.2245176151247209D+01  0.6266967302258135D+00 -0.1505153926396030D+00  0.1934585353540146D+01
  0.8000000000000000D+04  0.3002434835934932D+03  0.4512407340473476D+03  0.7739773318065283D+04  0.4880311752772617D+01  0.1784322760939867D+00  0.2794038937087903D+00  0.4720876413998925D+01  0.1192000031471252D+01   40  0  0     5    4  20  0.1559587815273391D+03  0.1345235235234587D+02  0.2159656878788617D+01  0.1519897799163209D+03  0.4880311752772617D+01  0.1784322760939867D+00  0.2794038937087903D+00  0.4720876413998925D+01
  0.8000000000000000D+04 -0.4540714365510364D+03  0.5542190184045860D+03 -0.7717664193010885D+04  0.4507909266416167D+01 -0.2552627806277579D+00  0.3147683877188726D+00 -0.4348823503749007D+01  0.1115680000000000D+01  -27  0  0     0    0  99  0.4116121945913450D+01 -0.1300222300000000D+01 -0.4100000000000000D+01 -0.3957974213360962D+01  0.4507909266416168D+01 -0.2552627806277579D+00  0.3147683877188726D+00 -0.4348823503749007D+01
  0.8000000000000000D+04  0.7419384351272032D+03  0.2989999886751005D+03  0.7727861525214375D+04  0.4992620403781437D+01  0.4648288505915303D+00  0.1875651181717686D+00  0.4822097240076945D+01  0.1192640000000000D+01   40  0  0     0    0  99  0.3637929389896585D+02  0.5000000000000000D+00 -0.1810701700000000D+00  0.3623862537924602D+02  0.4992620403781438D+01  0.4648288505915303D+00  0.1875651181717686D+00  0.4822097240076945D+01
  0.8000000000000000D+04 -0.8294059642286982D+00 -0.1245957254894745D+03  0.7819356313856806D+04  0.4447228607947351D+01 -0.7380465384990154D-03 -0.6919053013011087D-01  0.4346632072460261D+01  0.9380000233650208D+00    1 -1  0     8    1  20  0.3155812358426841D+02  0.4930088389162384D+00 -0.6217258720690663D+00  0.3116099471613762D+02  0.4447228607947351D+01 -0.7380465384990154D-03 -0.6919053013011087D-01  0.4346632072460261D+01
  0.8000000000000000D+04  0.9445318138080970D+03  0.8107371432898065D+03 -0.7818125641084576D+04  0.6512670346148964D+01  0.7690425395014712D+00  0.6601242540285257D+00 -0.6364577011511111D+01  0.9380000233650208D+00   -1  1  0     9    1  20  0.2218524915555158D+02  0.2479078206395618D+01  0.2105855158813027D+01 -0.2172053125999435D+02  0.6512670346148964D+01  0.7690425395014712D+00  0.6601242540285257D+00 -0.6364577011511111D+01
  0.8000000000000000D+04 -0.2836740780304707D+03  0.2528476201185781D+04  0.7470658163010952D+04  0.5719296833942601D+01 -0.2033652207623262D+00  0.1806746672836238D+01  0.5340863345760923D+01  0.9380000233650208D+00   -1  1  0    10    1  20  0.6225176522738231D+01  0.5664202162572031D+00  0.3213658419045760D+01  0.5814111623380961D+01  0.5719296833942601D+01 -0.2033652207623262D+00  0.1806746672836238D+01  0.5340863345760923D+01
