UQMD   version:       10010   1000  10001  output_file  13
projectile:  (mass, char)    0   0   target:  (mass, char)    0   0 
transformation betas (NN,lab,pro)     0.0000000  0.9907499 -0.9907499
impact_parameter_real/min/max(fm):    0.00  0.00  0.00  total_cross_section(mbarn):       0.00
equation_of_state:    0  E_lab(GeV/u): 0.1000E+03  sqrt(s)(GeV): 0.1382E+02  p_lab(GeV/u): 0.1009E+03
event#         1 random seed:           0 (auto)   total_time(fm/c):   8000 Delta(t)_O(fm/c):   8000.00
op  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
op  0    0    0    0    0    0    1    0    1    0    0    0    0    2    1  
op  0    0    0    1    1    0    0    0    0    1    1    0    0    0    0  
pa 0.1000E+01   0.5200E+00   0.5000E+00   0.3000E+00   0.0000E+00   0.3700E+00   0.0000E+00   0.9300E-01   0.3500E+00   0.2500E+00   0.0000E+00   0.5000E+00  
pa 0.2700E+00   0.4900E+00   0.2700E+00   0.1000E+01   0.1600E+01   0.8500E+00   0.1550E+01   0.0000E+00   0.0000E+00   0.1000E+01 * 0.0000E+00   0.0000E+00  
pa 0.9000E+00   0.5000E+02   0.1000E+01   0.1000E+01   0.4000E+00   0.1500E+01   0.1600E+01   0.0000E+00   0.2500E+01   0.1000E+00   0.3000E+01   0.2750E+00  
pa 0.4200E+00   0.1080E+01   0.8000E+00   0.5000E+00   0.0000E+00   0.5500E+00   0.5000E+01   0.8000E+00   0.5000E+00   0.8000E+06   0.1000E+01   0.2000E+01  
pvec: r0              rx              ry              rz              p0              px              py              pz              m          ityp 2i3 chg lcl#  ncl or 
         143        8000
      12       0      12       0      45       3       0       0
  0.8000000000000000D+04 -0.2447653730932123D+04  0.4921397227544345D+03  0.7356367224619306D+04  0.3931687756795045D+01 -0.1203399788017834D+01  0.2427799317111309D+00  0.3615342982206394D+01  0.9382700000000000D+00    1  1  1     0    0  99  0.5216906692090533D+01 -0.6332972500000000D+00 -0.1534498980000000D+01  0.4846773713923416D+01  0.3931687756795045D+01 -0.1203399788017834D+01  0.2427799317111309D+00  0.3615342982206394D+01
  0.8000000000000000D+04 -0.4205453071844250D+04 -0.2572836544557723D+04  0.4969302595681926D+04  0.1939165421941916D+01 -0.1020022150978375D+01 -0.6237227176359661D+00  0.1204592575454723D+01  0.9380000233650208D+00   -1 -1 -1     2    2  20  0.9701945789129910D+01 -0.2469192288137857D+01 -0.2797722339566733D+01  0.5799429389888752D+01  0.1939165421941916D+01 -0.1020022150978375D+01 -0.6237227176359661D+00  0.1204592575454723D+01
  0.8000000000000000D+04 -0.9644663702274099D+03  0.2035426830669074D+03  0.7885434978742623D+04  0.8200431250638632D+01 -0.9928346974004710D+00  0.2112883050067559D+00  0.8082939900021264D+01  0.9395700000000000D+00    1 -1  0     0    0  99  0.2644652583565143D+02  0.9000000000000000D+00 -0.1900000000000000D+01  0.2612227293132966D+02  0.8200431250638633D+01 -0.9928346974004710D+00  0.2112883050067559D+00  0.8082939900021264D+01
  0.8000000000000000D+04 -0.2233770248780678D+04 -0.5850178641075247D+03 -0.7065803493210983D+04  0.2542244688797082D+01 -0.7103638674995435D+00 -0.1850095405626601D+00 -0.2245299739114770D+01  0.9395700000000000D+00   -1  1  0     0    0  99  0.7082941370423778D+01 -0.3583748600000000D+00 -0.3340608850000000D+01 -0.6493008428830249D+01  0.2542244688797081D+01 -0.7103638674995435D+00 -0.1850095405626601D+00 -0.2245299739114770D+01
  0.8000000000000000D+04 -0.2300612887282242D+04 -0.3133011692558016D+04 -0.6294396787771970D+04  0.3132670367947330D+01 -0.9012427091149080D+00 -0.1226102698342731D+01 -0.2464886856835249D+01  0.1192640000000000D+01   40  0  0     0    0  99  0.4093521137942982D+01 -0.2583748600000000D+00 -0.3476389470000000D+01 -0.2957704398141574D+01  0.3132670367947330D+01 -0.9012427091149080D+00 -0.1226102698342731D+01 -0.2464886856835249D+01
  0.8000000000000000D+04  0.1047491038407689D+04  0.1095221365185623D+04 -0.7663203361828828D+04  0.5556634359077623D+01  0.7275488822479783D+00  0.7637901205174338D+00 -0.5322555417628047D+01  0.1197450000000000D+01   40 -2 -1     0    0  99  0.1533461692103040D+02  0.2031863090000000D+01 -0.2315046450000000D+01 -0.1490022609601116D+02  0.5556634359077623D+01  0.7275488822479783D+00  0.7637901205174338D+00 -0.5322555417628047D+01
  0.8000000000000000D+04 -0.5092398771797521D+03 -0.2378901579934199D+04  0.7068971865553974D+04  0.2632783198161267D+01 -0.1679431131768727D+00 -0.7824344589694280D+00  0.2326218982134134D+01  0.9380000233650208D+00    1 -1  0     7    1  20  0.1324884933196479D+02  0.2285261999628557D+00 -0.5326224446981659D+01  0.1220693890101937D+02  0.2632783198161267D+01 -0.1679431131768727D+00 -0.7824344589694280D+00  0.2326218982134134D+01
  0.8000000000000000D+04  0.3390069441151468D+03 -0.9796868077330960D+03 -0.7702434036438992D+04  0.3952337692722340D+01  0.1679127932111037D+00 -0.4829006748875021D+00 -0.3805225542008018D+01  0.9380000233650208D+00    1 -1  0     8    1  20  0.1917538763147446D+02 -0.5379840649844844D-01 -0.4581467273946095D+01 -0.1866811805838751D+02  0.3952337692722340D+01  0.1679127932111037D+00 -0.4829006748875021D+00 -0.3805225542008018D+01
  0.8000000000000000D+04  0.1347330535269824D+04 -0.2731895387225574D+03 -0.7579187311391053D+04  0.3472464698019472D+01  0.5843277400092699D+00 -0.1182448703535384D+00 -0.3289794260747838D+01  0.9380000233650208D+00    1  1  1     9    1  20  0.9518495434036549D+01  0.2735152684103678D+01 -0.1096506327257084D+01 -0.9048381159239849D+01  0.3472464698019472D+01  0.5843277400092699D+00 -0.1182448703535384D+00 -0.3289794260747838D+01
  0.8000000000000000D+04 -0.3600562328175433D+04  0.2908440773412074D+04 -0.5363837836894886D+04  0.2022539646172651D+01 -0.9109195205280289D+00  0.7362416362336374D+00 -0.1356096035207100D+01  0.9380000233650208D+00   -1 -1 -1    10    1  20  0.6170887143794475D+01 -0.2695000741154345D+00 -0.1460071774592107D+01 -0.4041806898046195D+01  0.2022539646172651D+01 -0.9109195205280289D+00  0.7362416362336374D+00 -0.1356096035207100D+01
