   0.980  -0.836E-02   0.882E-04   0.239E-03   0.269E-03   0.448E-02   0.396E-02  -0.370E-03
   1.000  -0.826E-02   0.887E-04   0.238E-03   0.268E-03   0.444E-02   0.391E-02  -0.381E-03
   1.020  -0.817E-02   0.895E-04   0.237E-03   0.268E-03   0.440E-02   0.386E-02  -0.391E-03
   1.040  -0.809E-02   0.901E-04   0.236E-03   0.267E-03   0.436E-02   0.382E-02  -0.401E-03
   1.060  -0.800E-02   0.906E-04   0.234E-03   0.267E-03   0.432E-02   0.377E-02  -0.412E-03
   1.080  -0.792E-02   0.910E-04   0.233E-03   0.266E-03   0.428E-02   0.373E-02  -0.422E-03
   1.100  -0.784E-02   0.917E-04   0.232E-03   0.265E-03   0.424E-02   0.368E-02  -0.432E-03
   1.120  -0.775E-02   0.932E-04   0.231E-03   0.265E-03   0.420E-02   0.364E-02  -0.442E-03
   1.140  -0.767E-02   0.938E-04   0.230E-03   0.264E-03   0.416E-02   0.360E-02  -0.452E-03
   1.160  -0.760E-02   0.941E-04   0.229E-03   0.263E-03   0.412E-02   0.356E-02  -0.462E-03
   1.180  -0.752E-02   0.943E-04   0.227E-03   0.262E-03   0.409E-02   0.352E-02  -0.472E-03
   1.200  -0.745E-02   0.946E-04   0.225E-03   0.261E-03   0.405E-02   0.348E-02  -0.482E-03
   1.220  -0.737E-02   0.949E-04   0.224E-03   0.260E-03   0.402E-02   0.345E-02  -0.493E-03
   1.240  -0.730E-02   0.951E-04   0.222E-03   0.259E-03   0.398E-02   0.341E-02  -0.503E-03
   1.260  -0.723E-02   0.952E-04   0.220E-03   0.258E-03   0.395E-02   0.338E-02  -0.513E-03
   1.280  -0.716E-02   0.955E-04   0.218E-03   0.256E-03   0.391E-02   0.334E-02  -0.523E-03
   1.300  -0.710E-02   0.956E-04   0.217E-03   0.255E-03   0.388E-02   0.331E-02  -0.533E-03
   1.320  -0.703E-02   0.957E-04   0.215E-03   0.254E-03   0.385E-02   0.327E-02  -0.543E-03
   1.340  -0.696E-02   0.959E-04   0.213E-03   0.252E-03   0.381E-02   0.324E-02  -0.553E-03
