 0.00000000e+00   8.53807791e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   1.00000000e+00  
 1.00000000e+00   6.48563380e-02   6.59732572e-02   7.59612862e-03   7.72694486e-03   1.08354440e-02  
 2.00000000e+00  -4.55576116e-03  -1.00767852e-01  -5.33581586e-04  -1.18021706e-02   1.18142262e-02  
 3.00000000e+00  -4.31881572e-02  -2.56885727e-03  -5.05829973e-03  -3.00870676e-04   5.06723981e-03  
 4.00000000e+00  -9.77825752e-02  -1.40242379e-01  -1.14525279e-02  -1.64255211e-02   2.00239392e-02  
 5.00000000e+00   1.46901628e-02  -2.17755232e-02   1.72054682e-03  -2.55040108e-03   3.07649591e-03  
 6.00000000e+00   6.34394336e-05  -1.33274365e-02   7.43017740e-06  -1.56094107e-03   1.56095876e-03  
 7.00000000e+00   1.34218818e-03   1.05989432e-02   1.57200273e-04   1.24137344e-03   1.25128732e-03  
 8.00000000e+00   2.80196707e-03   1.04865628e-02   3.28173050e-04   1.22821119e-03   1.27129866e-03  
 9.00000000e+00   5.66240102e-03  -1.69989586e-03   6.63193881e-04  -1.99095848e-04   6.92434314e-04  
