  8.5071E+00  8.4949E+00  8.4672E+00  8.4180E+00  8.3451E+00  8.2316E+00  7.9681E+00  7.2976E+00  5.9793E+00  4.1460E+00  2.3314E+00  1.0287E+00  3.4338E-01  8.0857E-02  1.1243E-02
  8.5072E+00  8.4953E+00  8.4684E+00  8.4202E+00  8.3477E+00  8.2334E+00  7.9667E+00  7.2917E+00  5.9696E+00  4.1353E+00  2.3220E+00  1.0221E+00  3.3988E-01  7.9543E-02  1.0959E-02
  8.5074E+00  8.4961E+00  8.4706E+00  8.4240E+00  8.3526E+00  8.2363E+00  7.9634E+00  7.2794E+00  5.9511E+00  4.1158E+00  2.3060E+00  1.0114E+00  3.3432E-01  7.7504E-02  1.0522E-02
  8.5075E+00  8.4974E+00  8.4737E+00  8.4297E+00  8.3595E+00  8.2400E+00  7.9568E+00  7.2590E+00  5.9219E+00  4.0875E+00  2.2849E+00  9.9879E-01  3.2831E-01  7.5397E-02  1.0084E-02
  8.5076E+00  8.4991E+00  8.4781E+00  8.4374E+00  8.3688E+00  8.2442E+00  7.9454E+00  7.2276E+00  5.8799E+00  4.0507E+00  2.2621E+00  9.8814E-01  3.2440E-01  7.4284E-02  9.8778E-03
  8.5086E+00  8.5013E+00  8.4837E+00  8.4473E+00  8.3807E+00  8.2485E+00  7.9281E+00  7.1836E+00  5.8245E+00  4.0077E+00  2.2424E+00  9.8462E-01  3.2601E-01  7.5552E-02  1.0209E-02
  8.5091E+00  8.5043E+00  8.4907E+00  8.4595E+00  8.3956E+00  8.2533E+00  7.9057E+00  7.1281E+00  5.7581E+00  3.9639E+00  2.2325E+00  9.9405E-01  3.3667E-01  8.0643E-02  1.1408E-02
  8.5102E+00  8.5076E+00  8.4989E+00  8.4744E+00  8.4135E+00  8.2608E+00  7.8816E+00  7.0681E+00  5.6906E+00  3.9289E+00  2.2402E+00  1.0215E+00  3.5902E-01  9.0630E-02  1.3785E-02
  8.5113E+00  8.5115E+00  8.5082E+00  8.4911E+00  8.4348E+00  8.2733E+00  7.8642E+00  7.0178E+00  5.6402E+00  3.9184E+00  2.2743E+00  1.0697E+00  3.9334E-01  1.0557E-01  1.7456E-02
  8.5124E+00  8.5156E+00  8.5181E+00  8.5093E+00  8.4598E+00  8.2945E+00  7.8651E+00  6.9978E+00  5.6306E+00  3.9503E+00  2.3413E+00  1.1365E+00  4.3553E-01  1.2309E-01  2.1774E-02
  8.5133E+00  8.5195E+00  8.5281E+00  8.5281E+00  8.4884E+00  8.3282E+00  7.8944E+00  7.0267E+00  5.6796E+00  4.0319E+00  2.4347E+00  1.2089E+00  4.7449E-01  1.3727E-01  2.4861E-02
  8.5135E+00  8.5228E+00  8.5376E+00  8.5472E+00  8.5208E+00  8.3762E+00  7.9578E+00  7.1085E+00  5.7811E+00  4.1406E+00  2.5230E+00  1.2595E+00  4.9349E-01  1.4108E-01  2.4934E-02
